gene_index,chromosome,ensembl_gene_id,gene_symbol,gene_start,gene_end,length
chr1@ENSG00000278791@MIR6723@632325@632413,chr1,ENSG00000278791,MIR6723,632325,632413,89
chr1@ENSG00000229344@RP5-857K21.7@632757@633438,chr1,ENSG00000229344,RP5-857K21.7,632757,633438,682
chr1@ENSG00000240409@MTATP8P1@633535@633741,chr1,ENSG00000240409,MTATP8P1,633535,633741,207
chr1@ENSG00000248527@MTATP6P1@633696@634376,chr1,ENSG00000248527,MTATP6P1,633696,634376,681
chr1@ENSG00000198744@RP5-857K21.11@634376@634922,chr1,ENSG00000198744,RP5-857K21.11,634376,634922,547
chr1@ENSG00000268663@WBP1LP6@674842@675265,chr1,ENSG00000268663,WBP1LP6,674842,675265,424
chr1@ENSG00000273547@OR4F16@685716@686654,chr1,ENSG00000273547,OR4F16,685716,686654,939
chr1@ENSG00000229376@CICP3@722092@724903,chr1,ENSG00000229376,CICP3,722092,724903,2455
chr1@ENSG00000224956@RP11-206L10.1@726231@728147,chr1,ENSG00000224956,RP11-206L10.1,726231,728147,1236
chr1@ENSG00000235373@RP11-206L10.3@741813@750016,chr1,ENSG00000235373,RP11-206L10.3,741813,750016,4860
chr1@ENSG00000223181@RNU6-1199P@758233@758336,chr1,ENSG00000223181,RNU6-1199P,758233,758336,104
chr1@ENSG00000240618@RP11-206L10.5@759032@764925,chr1,ENSG00000240618,RP11-206L10.5,759032,764925,295
chr1@ENSG00000229905@RP11-206L10.4@760911@761989,chr1,ENSG00000229905,RP11-206L10.4,760911,761989,456
chr1@ENSG00000228327@RP11-206L10.2@764857@778626,chr1,ENSG00000228327,RP11-206L10.2,764857,778626,1317
chr1@ENSG00000237491@RP11-206L10.9@778770@810060,chr1,ENSG00000237491,RP11-206L10.9,778770,810060,5517
chr1@ENSG00000230092@RP11-206L10.8@800879@817712,chr1,ENSG00000230092,RP11-206L10.8,800879,817712,872
chr1@ENSG00000177757@FAM87B@817371@819837,chr1,ENSG00000177757,FAM87B,817371,819837,1947
chr1@ENSG00000228794@LINC01128@825138@859446,chr1,ENSG00000228794,LINC01128,825138,859446,9470
chr1@ENSG00000225880@LINC00115@826206@827522,chr1,ENSG00000225880,LINC00115,826206,827522,1317
chr1@ENSG00000230368@FAM41C@868071@876903,chr1,ENSG00000230368,FAM41C,868071,876903,1971
chr1@ENSG00000234711@TUBB8P11@873292@874349,chr1,ENSG00000234711,TUBB8P11,873292,874349,1058
chr1@ENSG00000272438@RP11-54O7.16@904834@915976,chr1,ENSG00000272438,RP11-54O7.16,904834,915976,351
chr1@ENSG00000230699@RP11-54O7.1@911435@914948,chr1,ENSG00000230699,RP11-54O7.1,911435,914948,3043
chr1@ENSG00000241180@RP11-54O7.2@914171@914971,chr1,ENSG00000241180,RP11-54O7.2,914171,914971,443
chr1@ENSG00000223764@RP11-54O7.3@916865@921016,chr1,ENSG00000223764,RP11-54O7.3,916865,921016,4152
chr1@ENSG00000187634@SAMD11@924880@944581,chr1,ENSG00000187634,SAMD11,924880,944581,3214
chr1@ENSG00000188976@NOC2L@944204@959309,chr1,ENSG00000188976,NOC2L,944204,959309,5539
chr1@ENSG00000187961@KLHL17@960587@965715,chr1,ENSG00000187961,KLHL17,960587,965715,3395
chr1@ENSG00000277294@AL645608.1@965110@965166,chr1,ENSG00000277294,AL645608.1,965110,965166,57
chr1@ENSG00000187583@PLEKHN1@966497@975865,chr1,ENSG00000187583,PLEKHN1,966497,975865,2833
chr1@ENSG00000187642@PERM1@975204@982093,chr1,ENSG00000187642,PERM1,975204,982093,3424
chr1@ENSG00000272512@RP11-54O7.17@995966@998051,chr1,ENSG00000272512,RP11-54O7.17,995966,998051,2086
chr1@ENSG00000188290@HES4@998962@1000172,chr1,ENSG00000188290,HES4,998962,1000172,1118
chr1@ENSG00000187608@ISG15@1001138@1014541,chr1,ENSG00000187608,ISG15,1001138,1014541,942
chr1@ENSG00000231702@RP11-54O7.10@1008076@1008229,chr1,ENSG00000231702,RP11-54O7.10,1008076,1008229,154
chr1@ENSG00000224969@RP11-54O7.11@1011997@1013193,chr1,ENSG00000224969,RP11-54O7.11,1011997,1013193,471
chr1@ENSG00000188157@AGRN@1020123@1056118,chr1,ENSG00000188157,AGRN,1020123,1056118,10758
chr1@ENSG00000242590@RP11-54O7.14@1055033@1056116,chr1,ENSG00000242590,RP11-54O7.14,1055033,1056116,402
chr1@ENSG00000217801@RP11-465B22.3@1059734@1069355,chr1,ENSG00000217801,RP11-465B22.3,1059734,1069355,2171
chr1@ENSG00000273443@RP11-54O7.18@1062208@1063288,chr1,ENSG00000273443,RP11-54O7.18,1062208,1063288,829
chr1@ENSG00000237330@RNF223@1070966@1074307,chr1,ENSG00000237330,RNF223,1070966,1074307,1902
chr1@ENSG00000131591@C1orf159@1081818@1116361,chr1,ENSG00000131591,C1orf159,1081818,1116361,6322
chr1@ENSG00000223823@LINC01342@1137017@1144056,chr1,ENSG00000223823,LINC01342,1137017,1144056,1620
chr1@ENSG00000207730@MIR200B@1167092@1167202,chr1,ENSG00000207730,MIR200B,1167092,1167202,111
chr1@ENSG00000207607@MIR200A@1167846@1167956,chr1,ENSG00000207607,MIR200A,1167846,1167956,111
chr1@ENSG00000198976@MIR429@1169005@1169087,chr1,ENSG00000198976,MIR429,1169005,1169087,83
chr1@ENSG00000272141@RP11-465B22.8@1169357@1170343,chr1,ENSG00000272141,RP11-465B22.8,1169357,1170343,987
chr1@ENSG00000205231@TTLL10-AS1@1173056@1179555,chr1,ENSG00000205231,TTLL10-AS1,1173056,1179555,3532
chr1@ENSG00000162571@TTLL10@1173884@1197935,chr1,ENSG00000162571,TTLL10,1173884,1197935,3943
chr1@ENSG00000186891@TNFRSF18@1203508@1206691,chr1,ENSG00000186891,TNFRSF18,1203508,1206691,1370
chr1@ENSG00000186827@TNFRSF4@1211326@1214138,chr1,ENSG00000186827,TNFRSF4,1211326,1214138,1721
chr1@ENSG00000078808@SDF4@1216908@1232031,chr1,ENSG00000078808,SDF4,1216908,1232031,4709
chr1@ENSG00000176022@B3GALT6@1232265@1235041,chr1,ENSG00000176022,B3GALT6,1232265,1235041,2777
chr1@ENSG00000184163@FAM132A@1242446@1246722,chr1,ENSG00000184163,FAM132A,1242446,1246722,1794
chr1@ENSG00000260179@RP5-902P8.12@1249777@1251334,chr1,ENSG00000260179,RP5-902P8.12,1249777,1251334,1558
chr1@ENSG00000160087@UBE2J2@1253909@1273885,chr1,ENSG00000160087,UBE2J2,1253909,1273885,4712
chr1@ENSG00000230415@RP5-902P8.10@1275223@1280420,chr1,ENSG00000230415,RP5-902P8.10,1275223,1280420,513
chr1@ENSG00000162572@SCNN1D@1280436@1292029,chr1,ENSG00000162572,SCNN1D,1280436,1292029,4025
chr1@ENSG00000131584@ACAP3@1292376@1309609,chr1,ENSG00000131584,ACAP3,1292376,1309609,8809
chr1@ENSG00000278073@MIR6726@1296110@1296170,chr1,ENSG00000278073,MIR6726,1296110,1296170,61
chr1@ENSG00000169972@PUSL1@1308567@1311677,chr1,ENSG00000169972,PUSL1,1308567,1311677,2489
chr1@ENSG00000127054@CPSF3L@1311585@1324691,chr1,ENSG00000127054,CPSF3L,1311585,1324691,8220
chr1@ENSG00000274153@MIR6727@1312502@1312566,chr1,ENSG00000274153,MIR6727,1312502,1312566,65
chr1@ENSG00000240731@RP5-890O3.9@1317581@1318689,chr1,ENSG00000240731,RP5-890O3.9,1317581,1318689,386
chr1@ENSG00000224051@CPTP@1324756@1328897,chr1,ENSG00000224051,CPTP,1324756,1328897,2556
chr1@ENSG00000169962@TAS1R3@1331314@1335306,chr1,ENSG00000169962,TAS1R3,1331314,1335306,3433
chr1@ENSG00000107404@DVL1@1335276@1349350,chr1,ENSG00000107404,DVL1,1335276,1349350,3486
chr1@ENSG00000275884@MIR6808@1339650@1339708,chr1,ENSG00000275884,MIR6808,1339650,1339708,59
chr1@ENSG00000162576@MXRA8@1352689@1361777,chr1,ENSG00000162576,MXRA8,1352689,1361777,3622
chr1@ENSG00000175756@AURKAIP1@1373730@1375495,chr1,ENSG00000175756,AURKAIP1,1373730,1375495,1669
chr1@ENSG00000223663@RP5-890O3.3@1378666@1379032,chr1,ENSG00000223663,RP5-890O3.3,1378666,1379032,367
chr1@ENSG00000221978@CCNL2@1385711@1399338,chr1,ENSG00000221978,CCNL2,1385711,1399338,6860
chr1@ENSG00000224870@RP4-758J18.2@1399522@1402046,chr1,ENSG00000224870,RP4-758J18.2,1399522,1402046,2525
chr1@ENSG00000242485@MRPL20@1401908@1407313,chr1,ENSG00000242485,MRPL20,1401908,1407313,2788
chr1@ENSG00000264293@RN7SL657P@1405460@1405752,chr1,ENSG00000264293,RN7SL657P,1405460,1405752,293
chr1@ENSG00000272455@RP4-758J18.13@1409096@1410618,chr1,ENSG00000272455,RP4-758J18.13,1409096,1410618,1523
chr1@ENSG00000235098@ANKRD65@1418420@1421769,chr1,ENSG00000235098,ANKRD65,1418420,1421769,2644
chr1@ENSG00000225905@RP4-758J18.7@1420245@1422691,chr1,ENSG00000225905,RP4-758J18.7,1420245,1422691,543
chr1@ENSG00000205116@TMEM88B@1426128@1427787,chr1,ENSG00000205116,TMEM88B,1426128,1427787,492
chr1@ENSG00000225285@RP4-758J18.10@1430539@1434573,chr1,ENSG00000225285,RP4-758J18.10,1430539,1434573,851
chr1@ENSG00000179403@VWA1@1434861@1442882,chr1,ENSG00000179403,VWA1,1434861,1442882,5065
chr1@ENSG00000215915@ATAD3C@1449689@1470158,chr1,ENSG00000215915,ATAD3C,1449689,1470158,3976
chr1@ENSG00000160072@ATAD3B@1471769@1497848,chr1,ENSG00000160072,ATAD3B,1471769,1497848,7682
chr1@ENSG00000197785@ATAD3A@1512151@1534687,chr1,ENSG00000197785,ATAD3A,1512151,1534687,3069
chr1@ENSG00000205090@TMEM240@1535174@1540453,chr1,ENSG00000205090,TMEM240,1535174,1540453,1380
chr1@ENSG00000160075@SSU72@1541673@1574869,chr1,ENSG00000160075,SSU72,1541673,1574869,6925
chr1@ENSG00000215014@RP5-832C2.5@1574975@1577075,chr1,ENSG00000215014,RP5-832C2.5,1574975,1577075,2101
chr1@ENSG00000279244@AL645728.1@1579756@1580046,chr1,ENSG00000279244,AL645728.1,1579756,1580046,276
chr1@ENSG00000274481@RP11-345P4.11@1583510@1583909,chr1,ENSG00000274481,RP11-345P4.11,1583510,1583909,400
chr1@ENSG00000228594@C1orf233@1598011@1600096,chr1,ENSG00000228594,C1orf233,1598011,1600096,2086
chr1@ENSG00000272106@RP11-345P4.9@1613758@1615795,chr1,ENSG00000272106,RP11-345P4.9,1613758,1615795,2038
chr1@ENSG00000197530@MIB2@1615415@1630610,chr1,ENSG00000197530,MIB2,1615415,1630610,8767
chr1@ENSG00000189409@MMP23B@1632095@1701810,chr1,ENSG00000189409,MMP23B,1632095,1701810,2714
chr1@ENSG00000248333@CDK11B@1635227@1722818,chr1,ENSG00000248333,CDK11B,1635227,1722818,3434
chr1@ENSG00000272004@RP11-345P4.10@1659325@1662602,chr1,ENSG00000272004,RP11-345P4.10,1659325,1662602,400
chr1@ENSG00000189339@SLC35E2B@1659529@1692728,chr1,ENSG00000189339,SLC35E2B,1659529,1692728,8395
chr1@ENSG00000269737@RP11-345P4.7@1671990@1673411,chr1,ENSG00000269737,RP11-345P4.7,1671990,1673411,1422
chr1@ENSG00000269227@RP11-345P4.6@1673275@1674397,chr1,ENSG00000269227,RP11-345P4.6,1673275,1674397,502
chr1@ENSG00000215914@MMP23A@1699942@1701782,chr1,ENSG00000215914,MMP23A,1699942,1701782,1017
chr1@ENSG00000008128@CDK11A@1702730@1724324,chr1,ENSG00000008128,CDK11A,1702730,1724324,4701
chr1@ENSG00000268575@RP1-283E3.8@1702736@1737688,chr1,ENSG00000268575,RP1-283E3.8,1702736,1737688,5079
chr1@ENSG00000227775@RP1-283E3.4@1724512@1737251,chr1,ENSG00000227775,RP1-283E3.4,1724512,1737251,2759
chr1@ENSG00000215790@SLC35E2@1724838@1745992,chr1,ENSG00000215790,SLC35E2,1724838,1745992,2504
chr1@ENSG00000008130@NADK@1751232@1780457,chr1,ENSG00000008130,NADK,1751232,1780457,5570
chr1@ENSG00000078369@GNB1@1785285@1891117,chr1,ENSG00000078369,GNB1,1785285,1891117,6417
chr1@ENSG00000231050@RP1-140A9.1@1891471@1892658,chr1,ENSG00000231050,RP1-140A9.1,1891471,1892658,906
chr1@ENSG00000169885@CALML6@1914827@1917296,chr1,ENSG00000169885,CALML6,1914827,1917296,2321
chr1@ENSG00000178821@TMEM52@1917590@1919273,chr1,ENSG00000178821,TMEM52,1917590,1919273,1594
chr1@ENSG00000142609@CFAP74@1921951@2003837,chr1,ENSG00000142609,CFAP74,1921951,2003837,10422
chr1@ENSG00000233542@RP11-547D24.1@2013213@2015530,chr1,ENSG00000233542,RP11-547D24.1,2013213,2015530,1954
chr1@ENSG00000187730@GABRD@2019324@2030751,chr1,ENSG00000187730,GABRD,2019324,2030751,1928
chr1@ENSG00000226969@RP11-547D24.3@2049203@2050070,chr1,ENSG00000226969,RP11-547D24.3,2049203,2050070,538
chr1@ENSG00000067606@PRKCZ@2050470@2185395,chr1,ENSG00000067606,PRKCZ,2050470,2185395,7636
chr1@ENSG00000271806@RP5-892K4.1@2141084@2145279,chr1,ENSG00000271806,RP5-892K4.1,2141084,2145279,4196
chr1@ENSG00000182873@RP11-181G12.2@2181794@2184389,chr1,ENSG00000182873,RP11-181G12.2,2181794,2184389,1734
chr1@ENSG00000162585@C1orf86@2184461@2212720,chr1,ENSG00000162585,C1orf86,2184461,2212720,10916
chr1@ENSG00000234396@RP11-181G12.4@2212523@2220738,chr1,ENSG00000234396,RP11-181G12.4,2212523,2220738,326
chr1@ENSG00000277082@AL590822.1@2222427@2222500,chr1,ENSG00000277082,AL590822.1,2222427,2222500,74
chr1@ENSG00000157933@SKI@2228695@2310119,chr1,ENSG00000157933,SKI,2228695,2310119,6080
chr1@ENSG00000116151@MORN1@2321253@2391707,chr1,ENSG00000116151,MORN1,2321253,2391707,11337
chr1@ENSG00000272161@RP4-713A8.1@2326201@2326693,chr1,ENSG00000272161,RP4-713A8.1,2326201,2326693,493
chr1@ENSG00000269896@RP4-740C4.5@2350414@2352820,chr1,ENSG00000269896,RP4-740C4.5,2350414,2352820,2407
chr1@ENSG00000272420@RP4-740C4.7@2363061@2363628,chr1,ENSG00000272420,RP4-740C4.7,2363061,2363628,568
chr1@ENSG00000157916@RER1@2391775@2405444,chr1,ENSG00000157916,RER1,2391775,2405444,5691
chr1@ENSG00000157911@PEX10@2403964@2413797,chr1,ENSG00000157911,PEX10,2403964,2413797,3794
chr1@ENSG00000149527@PLCH2@2425980@2505530,chr1,ENSG00000149527,PLCH2,2425980,2505530,10781
chr1@ENSG00000224387@RP3-395M20.2@2492300@2493258,chr1,ENSG00000224387,RP3-395M20.2,2492300,2493258,455
chr1@ENSG00000229393@RP3-395M20.3@2493437@2494479,chr1,ENSG00000229393,RP3-395M20.3,2493437,2494479,514
chr1@ENSG00000157881@PANK4@2508533@2526600,chr1,ENSG00000157881,PANK4,2508533,2526600,5079
chr1@ENSG00000197921@HES5@2528745@2530245,chr1,ENSG00000197921,HES5,2528745,2530245,1306
chr1@ENSG00000272449@RP3-395M20.12@2546465@2547460,chr1,ENSG00000272449,RP3-395M20.12,2546465,2547460,996
chr1@ENSG00000238164@RP3-395M20.8@2549920@2557031,chr1,ENSG00000238164,RP3-395M20.8,2549920,2557031,6137
chr1@ENSG00000157873@TNFRSF14@2555639@2565382,chr1,ENSG00000157873,TNFRSF14,2555639,2565382,6219
chr1@ENSG00000225931@RP3-395M20.7@2566410@2569888,chr1,ENSG00000225931,RP3-395M20.7,2566410,2569888,1297
chr1@ENSG00000228037@RP3-395M20.9@2581560@2584533,chr1,ENSG00000228037,RP3-395M20.9,2581560,2584533,626
chr1@ENSG00000157870@FAM213B@2586491@2591469,chr1,ENSG00000157870,FAM213B,2586491,2591469,3371
chr1@ENSG00000142606@MMEL1@2590639@2632990,chr1,ENSG00000142606,MMEL1,2590639,2632990,3844
chr1@ENSG00000237058@RP13-436F16.1@2632568@2636620,chr1,ENSG00000237058,RP13-436F16.1,2632568,2636620,373
chr1@ENSG00000215912@TTC34@2635976@2801721,chr1,ENSG00000215912,TTC34,2635976,2801721,5900
chr1@ENSG00000233234@RP11-740P5.2@2811850@2812692,chr1,ENSG00000233234,RP11-740P5.2,2811850,2812692,607
chr1@ENSG00000231630@RP11-740P5.3@2814432@2814998,chr1,ENSG00000231630,RP11-740P5.3,2814432,2814998,429
chr1@ENSG00000169717@ACTRT2@3021483@3022903,chr1,ENSG00000169717,ACTRT2,3021483,3022903,1421
chr1@ENSG00000177133@LINC00982@3059615@3068437,chr1,ENSG00000177133,LINC00982,3059615,3068437,5600
chr1@ENSG00000142611@PRDM16@3069168@3438621,chr1,ENSG00000142611,PRDM16,3069168,3438621,9767
chr1@ENSG00000226286@RP1-163G9.2@3132927@3133709,chr1,ENSG00000226286,RP1-163G9.2,3132927,3133709,469
chr1@ENSG00000279839@RP11-193J6.1@3205988@3208664,chr1,ENSG00000279839,RP11-193J6.1,3205988,3208664,2677
chr1@ENSG00000272235@RP11-22L13.1@3306636@3310096,chr1,ENSG00000272235,RP11-22L13.1,3306636,3310096,3461
chr1@ENSG00000130762@ARHGEF16@3454426@3481113,chr1,ENSG00000130762,ARHGEF16,3454426,3481113,5563
chr1@ENSG00000272088@RP11-168F9.2@3487246@3487627,chr1,ENSG00000272088,RP11-168F9.2,3487246,3487627,382
chr1@ENSG00000162591@MEGF6@3489920@3611495,chr1,ENSG00000162591,MEGF6,3489920,3611495,7039
chr1@ENSG00000207776@MIR551A@3560695@3560790,chr1,ENSG00000207776,MIR551A,3560695,3560790,96
chr1@ENSG00000238260@RP11-46F15.2@3623190@3624743,chr1,ENSG00000238260,RP11-46F15.2,3623190,3624743,622
chr1@ENSG00000158109@TPRG1L@3625002@3630127,chr1,ENSG00000158109,TPRG1L,3625002,3630127,2414
chr1@ENSG00000116213@WRAP73@3630767@3652761,chr1,ENSG00000116213,WRAP73,3630767,3652761,7604
chr1@ENSG00000078900@TP73@3652520@3736201,chr1,ENSG00000078900,TP73,3652520,3736201,6763
chr1@ENSG00000227589@RP5-1092A11.5@3658938@3668772,chr1,ENSG00000227589,RP5-1092A11.5,3658938,3668772,754
chr1@ENSG00000235131@RP5-1092A11.2@3712200@3714298,chr1,ENSG00000235131,RP5-1092A11.2,3712200,3714298,351
chr1@ENSG00000227372@TP73-AS1@3735601@3747336,chr1,ENSG00000227372,TP73-AS1,3735601,3747336,7205
chr1@ENSG00000276189@TP73-AS1@3736943@3737103,chr1,ENSG00000276189,TP73-AS1,3736943,3737103,161
chr1@ENSG00000162592@CCDC27@3752398@3771645,chr1,ENSG00000162592,CCDC27,3752398,3771645,2318
chr1@ENSG00000235169@SMIM1@3772788@3775982,chr1,ENSG00000235169,SMIM1,3772788,3775982,954
chr1@ENSG00000130764@LRRC47@3778558@3796504,chr1,ENSG00000130764,LRRC47,3778558,3796504,4516
chr1@ENSG00000266075@RN7SL574P@3782815@3783111,chr1,ENSG00000266075,RN7SL574P,3782815,3783111,297
chr1@ENSG00000272153@RP1-286D6.5@3785008@3785538,chr1,ENSG00000272153,RP1-286D6.5,3785008,3785538,531
chr1@ENSG00000116198@CEP104@3812081@3857214,chr1,ENSG00000116198,CEP104,3812081,3857214,7876
chr1@ENSG00000169598@DFFB@3857267@3885429,chr1,ENSG00000169598,DFFB,3857267,3885429,3870
chr1@ENSG00000198912@C1orf174@3889125@3900293,chr1,ENSG00000198912,C1orf174,3889125,3900293,4388
chr1@ENSG00000236423@LINC01134@3900372@3917225,chr1,ENSG00000236423,LINC01134,3900372,3917225,4064
chr1@ENSG00000233304@LINC01346@3940613@3955262,chr1,ENSG00000233304,LINC01346,3940613,3955262,3571
chr1@ENSG00000226374@RP13-614K11.2@3947149@3948980,chr1,ENSG00000226374,RP13-614K11.2,3947149,3948980,937
chr1@ENSG00000229280@RP11-374C13.1@4175528@4175899,chr1,ENSG00000229280,RP11-374C13.1,4175528,4175899,372
chr1@ENSG00000235054@RP5-1166F10.1@4412051@4424687,chr1,ENSG00000235054,RP5-1166F10.1,4412051,4424687,2077
chr1@ENSG00000227169@RP1-37J18.1@4551735@4552145,chr1,ENSG00000227169,RP1-37J18.1,4551735,4552145,356
chr1@ENSG00000232596@RP1-37J18.2@4571548@4583421,chr1,ENSG00000232596,RP1-37J18.2,4571548,4583421,682
chr1@ENSG00000196581@AJAP1@4654732@4792534,chr1,ENSG00000196581,AJAP1,4654732,4792534,12405
chr1@ENSG00000277731@AL137795.1@4892068@4892162,chr1,ENSG00000277731,AL137795.1,4892068,4892162,95
chr1@ENSG00000231510@RP11-542C10.1@5086459@5090899,chr1,ENSG00000231510,RP11-542C10.1,5086459,5090899,449
chr1@ENSG00000260972@RP1-58B11.1@5492978@5494674,chr1,ENSG00000260972,RP1-58B11.1,5492978,5494674,1697
chr1@ENSG00000264341@MIR4417@5564071@5564143,chr1,ENSG00000264341,MIR4417,5564071,5564143,73
chr1@ENSG00000236948@RP11-154H17.1@5587368@5668295,chr1,ENSG00000236948,RP11-154H17.1,5587368,5668295,363
chr1@ENSG00000216045@AL356693.1@5815871@5815959,chr1,ENSG00000216045,AL356693.1,5815871,5815959,89
chr1@ENSG00000264101@MIR4689@5862672@5862741,chr1,ENSG00000264101,MIR4689,5862672,5862741,70
chr1@ENSG00000131697@NPHP4@5862810@5992473,chr1,ENSG00000131697,NPHP4,5862810,5992473,13168
chr1@ENSG00000266687@AL356261.1@5893839@5893924,chr1,ENSG00000266687,AL356261.1,5893839,5893924,86
chr1@ENSG00000069424@KCNAB2@5991466@6101193,chr1,ENSG00000069424,KCNAB2,5991466,6101193,9534
chr1@ENSG00000116254@CHD5@6101793@6180123,chr1,ENSG00000116254,CHD5,6101793,6180123,9890
chr1@ENSG00000116251@RPL22@6181269@6209389,chr1,ENSG00000116251,RPL22,6181269,6209389,4900
chr1@ENSG00000226944@RP1-120G22.11@6204840@6205780,chr1,ENSG00000226944,RP1-120G22.11,6204840,6205780,378
chr1@ENSG00000158286@RNF207@6205475@6221299,chr1,ENSG00000158286,RNF207,6205475,6221299,6585
chr1@ENSG00000116237@ICMT@6221193@6235972,chr1,ENSG00000116237,ICMT,6221193,6235972,4910
chr1@ENSG00000225077@LINC00337@6236240@6239444,chr1,ENSG00000225077,LINC00337,6236240,6239444,1685
chr1@ENSG00000173673@HES3@6244192@6245578,chr1,ENSG00000173673,HES3,6244192,6245578,697
chr1@ENSG00000158292@GPR153@6247346@6260975,chr1,ENSG00000158292,GPR153,6247346,6260975,4082
chr1@ENSG00000097021@ACOT7@6264269@6394391,chr1,ENSG00000097021,ACOT7,6264269,6394391,4124
