file_path,relative_path,exists,size_MB,github_recommended,reason
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE141910_STEP3_COMPLETION_SUMMARY_CODE15.csv,results/quality_control/differential_expression/GSE141910_STEP3_COMPLETION_SUMMARY_CODE15.csv,True,0.0009,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/STEP3_GSE141910_ALL_ARMS_COMPLETE.txt,results/differential_expression/GSE141910/STEP3_GSE141910_ALL_ARMS_COMPLETE.txt,True,0.0003,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/data/processed/sample_metadata/GSE57338_analysis_design_table_CODE16.csv,data/processed/sample_metadata/GSE57338_analysis_design_table_CODE16.csv,True,0.1131,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/data/processed/expression_matrices/GSE57338_platform_feature_gene_symbol_annotation_CODE18.csv,data/processed/expression_matrices/GSE57338_platform_feature_gene_symbol_annotation_CODE18.csv,True,0.9274,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/data/processed/expression_matrices/GSE57338_expression_matrix_gene_symbol_CODE18.csv,data/processed/expression_matrices/GSE57338_expression_matrix_gene_symbol_CODE18.csv,True,73.4988,False,"Large/intermediate matrix/annotation; keep local/Drive/Zenodo, not GitHub."
/content/drive/MyDrive/MCI_Project/results/quality_control/GSE57338_gene_symbol_mapping_QC_CODE18.json,results/quality_control/GSE57338_gene_symbol_mapping_QC_CODE18.json,True,0.0018,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/GSE57338_target_gene_symbol_match_summary_CODE18.csv,results/quality_control/GSE57338_target_gene_symbol_match_summary_CODE18.csv,True,0.0008,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_gene_level.csv,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_gene_level.csv,True,4.1763,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,0.035,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_H4_prespecified_target_DE_snapshot.csv,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_H4_prespecified_target_DE_snapshot.csv,True,0.0079,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE57338_DCM_HF_vs_Control_STEP3_DE_QA_metrics.json,results/quality_control/differential_expression/GSE57338_DCM_HF_vs_Control_STEP3_DE_QA_metrics.json,True,0.0022,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE57338_DCM_HF_vs_Control_STEP3_DE_QA_metrics.csv,results/quality_control/differential_expression/GSE57338_DCM_HF_vs_Control_STEP3_DE_QA_metrics.csv,True,0.0016,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE57338/STEP3_GSE57338_DCM_HF_vs_Control_DE_COMPLETE.txt,results/differential_expression/GSE57338/STEP3_GSE57338_DCM_HF_vs_Control_DE_COMPLETE.txt,True,0.0002,True,Safe locked DE/QC/manifest/completion output for GitHub.
