gene_symbol,primary_MCI,primary_tier,n_leave_one_out_scenarios,n_valid_leave_one_out_scores,minimum_leave_one_out_MCI,maximum_leave_one_out_MCI,leave_one_out_MCI_range,mean_absolute_MCI_change,maximum_absolute_MCI_change,n_leave_one_out_tier_changes,tier_stable_across_all_valid_leave_one_out_scenarios,n_scenarios_becoming_insufficient
PLN,0.4130468243349183,UNSTABLE,3,3,0.125,0.9299615678022644,0.8049615678022644,0.36433613071239423,0.516914743467346,1,False,0
ACTC1,0.2166666666666666,UNSTABLE,3,3,0.12933437297484357,0.7331753939340184,0.6038410209591749,0.22552137020752308,0.5165087272673519,1,False,0
CACNA1C,0.1333333333333333,UNSTABLE,3,3,0.0,0.6447924505085882,0.6447924505085882,0.25937526128064053,0.5114591171752549,1,False,0
LZTR1,0.4113290672251504,UNSTABLE,3,3,0.125,0.9208304692051805,0.7958304692051805,0.360719845476777,0.5095014019800301,1,False,0
MYBPC3,0.1333333333333333,UNSTABLE,3,3,0.0,0.6388355681840376,0.6388355681840376,0.25738963383912367,0.5055022348507043,1,False,0
MYL2,0.3921424779050579,UNSTABLE,3,3,0.125,0.890398082123795,0.765398082123795,0.3441801866762843,0.4982556042187371,1,False,0
DES,0.1333333333333333,UNSTABLE,3,3,0.0,0.5985395102289968,0.5985395102289968,0.2439576145207767,0.46520617689566346,1,False,0
MYH7,0.292774455340535,UNSTABLE,3,3,0.0,0.7352914214025661,0.7352914214025661,0.2977309773290082,0.4425169660620311,1,False,0
MTO1,0.2166666666666666,UNSTABLE,3,3,0.125,0.6515592734076348,0.5265592734076348,0.18764937995374428,0.4348926067409682,1,False,0
TTN,0.1333333333333333,UNSTABLE,3,3,0.0,0.5641808207302528,0.5641808207302528,0.21003803804236812,0.43084748739691947,1,False,0
COQ9,0.2166666666666666,UNSTABLE,3,3,0.125,0.6195244570182084,0.49452445701820835,0.19512527780575875,0.4028577903515418,1,False,0
JPH2,0.1333333333333333,UNSTABLE,3,3,0.0,0.5331444856647368,0.5331444856647368,0.20661258036827154,0.3998111523314035,1,False,0
CAV3,0.8000427752056666,HIGH,3,3,0.6963568151773551,0.9871037316147763,0.2907469164374211,0.1293381999106528,0.1870609564091097,1,False,0
ALPK3,0.7976057316404546,HIGH,3,3,0.695300302410833,0.9632989417827043,0.2679986393718713,0.116952859770311,0.1656932101422497,1,False,0
MYL3,0.7526322412963301,HIGH,3,3,0.6757013967618234,0.8842927948066748,0.20859139804485138,0.0734301478794982,0.13166055351034467,1,False,0
SLC25A4,0.5959726762202882,MODERATE,3,3,0.6600431499382443,0.7081555938946533,0.04811244395640901,0.08412342668863049,0.11218291767436517,1,False,0
LAMP2,0.6903439971857486,MODERATE,3,3,0.5881913593837674,0.797962489519111,0.20977113013534354,0.07452405395716226,0.1076184923333624,1,False,0
TNNC1,0.7751828097694213,HIGH,3,3,0.6676626952587915,0.8646356678015554,0.1969729725427639,0.07460008389202395,0.10752011451062982,1,False,0
CSRP3,0.6431434629210778,MODERATE,3,3,0.6755932405137304,0.715936880261243,0.04034363974751265,0.04714590982911308,0.0727934173401652,1,False,0
RBM20,0.8035740008093487,HIGH,3,3,0.7041727164608115,0.9977373011036047,0.2935645846427932,0.13059122908279727,0.194163300294256,0,True,0
BAG3,0.8281811808437982,HIGH,3,3,0.7450205483999404,0.967392244384228,0.22237169598428763,0.093387780182365,0.13921106354042978,0,True,0
PMS2,0.7754141536439366,HIGH,3,3,0.7209577705687343,0.8738028097306189,0.15284503916188452,0.07054643270011274,0.09838865608668224,0,True,0
TPM1,0.5680418520168269,MODERATE,3,3,0.5461488291218286,0.6659663873355514,0.11981755821372275,0.06109556824742927,0.09792453531872447,0,True,0
PRKAG2,0.5838875374447547,MODERATE,3,3,0.6503665775788519,0.6809890534043637,0.030622475825511808,0.08211204256145126,0.09710151595960892,0,True,0
TINF2,0.9040539606172328,HIGH,3,3,0.8597537967707507,0.9980159226362062,0.1382621258654555,0.06040306835735624,0.09396196201897344,0,True,0
KCNH2,0.8813520672732007,HIGH,3,3,0.8183924824726353,0.9752333437628387,0.15684086129020336,0.06915466025452459,0.09388127648963795,0,True,0
TRIM63,0.8197933145443262,HIGH,3,3,0.7436313029342119,0.8627407187154141,0.11910941578120227,0.051903945941407494,0.07616201161011438,0,True,0
TMEM43,0.9294960052251762,HIGH,3,3,0.8987451268859193,0.9645558130168146,0.06581068613089525,0.02213595275064595,0.03505980779163842,0,True,0
MYH6,0.968060359673416,HIGH,3,3,0.95597053440003,0.9929039207908041,0.03693338639077415,0.01403883193286722,0.02484356111738817,0,True,0
ACTN2,0.9347924185794564,HIGH,3,3,0.9112697837452721,0.9566310991371697,0.04536131539189758,0.020722209796894726,0.023522634834184264,0,True,0
GLA,0.9600291718029872,HIGH,3,3,0.9444165768239019,0.9732773884546995,0.028860811630797567,0.013084516334303409,0.015612594979085292,0,True,0
TNNI3,0.9617210925247786,HIGH,3,3,0.947275867189951,0.976860950782853,0.029585083592901906,0.01255921720909329,0.015139858258074401,0,True,0
CEP85L,0.0,UNSTABLE,3,1,0.0,0.0,0.0,0.0,0.0,0,True,2
MT-TI,0.5439293516517061,MODERATE,3,1,0.5439293516517061,0.5439293516517061,0.0,0.0,0.0,0,True,2
MT-TL1,0.7086829235607361,HIGH,3,1,0.7086829235607361,0.7086829235607361,0.0,0.0,0.0,0,True,2
SSUH2,0.6571492956096299,MODERATE,3,1,0.6571492956096299,0.6571492956096299,0.0,0.0,0.0,0,True,2
